DELITO;CRIMINALIDAD;ES_ARCHIVO;ES_PRECLUSI√ìN;ESTADO;ETAPA_CASO;LEY;DEPARTAMENTO_HECHO;MUNICIPIO_HECHO;AÑO_HECHOS;TOTAL_PROCESOS
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caldas;LA DORADA;2011;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Santander;BUCARAMANGA;2019;2
TRAFICO DE VOTOS ART. 390A;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;SINCELEJO;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;JORD√ÅN;2019;2
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;BOGOT√Å, D. C.;BOGOT√Å, D.C.;2011;6
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;CHITA;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;MADRID;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;CARTAGENA;2019;2
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;GUADALAJARA DE BUGA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;PAIPA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;ZIPAQUIR√Å;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Tolima;PALOCABILDO;2015;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Atl√°ntico;SUAN;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;SINCELEJO;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;ANOLAIMA;2015;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cesar;BOSCONIA;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;CARTAGO;2015;2
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;PALMAS DEL SOCORRO;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cauca;FLORENCIA;2011;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;ARBOLEDA;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;GUATEQUE;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;ISTMINA;2011;8
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Meta;VILLAVICENCIO;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;FUSAGASUG√Å;2011;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;VILLAVICENCIO;2011;4
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cesar;AGUST√çN CODAZZI;2019;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;SAN CRIST√ìBAL;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;SORAC√Å;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caldas;MANIZALES;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;SATIVASUR;2019;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;NO;ACTIVO;JUICIO;Ley 906;Bol√≠var;CARTAGENA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Atl√°ntico;BARRANQUILLA;2019;2
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cesar;ASTREA;2019;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Boyaca;PUERTO BOYAC√Å;2019;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;ENVIGADO;2011;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;CALI;2015;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;C√öCUTA;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;BURITIC√Å;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;FALAN;2015;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Arauca;PUERTO ROND√ìN;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;SURAT√Å;2015;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;HACAR√ç;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;SI;INACTIVO;INDAGACI√ìN;Ley 906;Arauca;ARAUCA;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;LA UNI√ìN;2011;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;TIBASOSA;2019;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Santander;BARRANCABERMEJA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;CASABIANCA;2015;3
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caldas;CHINCHIN√Å;2015;1
DENEGACION DE INSCRIPCION ART. 396 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;SANTAF√â DE ANTIOQUIA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;MEDELL√çN;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;BUCARAMANGA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Quind√≠o;QUIMBAYA;2011;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;BOGOT√Å, D. C.;BOGOT√Å, D.C.;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;La Guajira;EL MOLINO;2019;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;MORALES;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;CHIMA;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;TIBACUY;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;CHARTA;2019;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Atl√°ntico;BARRANQUILLA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;CALAMAR;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cauca;ROSAS;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;PARATEBUENO;2019;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Boyaca;TINJAC√Å;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;JUICIO;Ley 906;BOGOT√Å, D. C.;BOGOT√Å, D.C.;2015;1
INTERVENCION EN POLITICA ART. 422 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;LEBR√çJA;2019;1
VOTO FRAUDULENTO ART. 391 C.P;SI;NO;NO;INACTIVO;JUICIO;Ley 906;Cundinamarca;EL PE√ë√ìN;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Risaralda;PEREIRA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;TUNUNGU√Å;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caquet√°;MIL√ÅN;2011;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Risaralda;DOSQUEBRADAS;2019;3
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;BUENAVENTURA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;GUADUAS;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;MADRID;2015;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;SANTA HELENA DEL OP√ìN;2011;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;CALI;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cauca;POPAY√ÅN;2015;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Santander;SURAT√Å;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;SUPAT√Å;2015;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;PUERTO WILCHES;2011;2
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;ARJONA;2011;1
VOTO FRAUDULENTO ART. 391 C.P;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;CICUCO;2015;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;BOGOT√Å, D. C.;BOGOT√Å, D.C.;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;PASTO;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Santander;CIMITARRA;2011;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;PE√ëOL;2011;2
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Magdalena;CI√âNAGA;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;M√ÅLAGA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;SAN PEDRO;2015;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;GUAYABETAL;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;SUAITA;2015;1
VOTO FRAUDULENTO ART. 391 C.P;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;QUIBDO;2011;1
ELECCION ILICITA DE CANDIDATOS ART. 389A;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;CH√çQUIZA;2019;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;QUIBDO;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;SAN BENITO ABAD;2019;1
INTERVENCION EN POLITICA ART. 422 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;COVARACH√çA;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;SAN MIGUEL;2011;1
INTERVENCION EN POLITICA ART. 422 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;SORA;2015;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Casanare;YOPAL;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;SAMANIEGO;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;CONCORDIA;2011;1
FAVORECIMIENTO DE VOTO FRAUDULENTO ART. 392 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;COLOSO;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;C√≥rdoba;MONTER√çA;2015;5
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;SAN ROQUE;2011;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;SI;NO;NO;INACTIVO;JUICIO;Ley 906;Cesar;GONZ√ÅLEZ;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;GUAMAL;2011;1
FAVORECIMIENTO DE VOTO FRAUDULENTO ART. 392 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;C√≥rdoba;SAN PELAYO;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;PASTO;2015;5
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;MEDELL√çN;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;La Guajira;URIBIA;2015;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;SAN ZEN√ìN;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;EL CERRITO;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;R√çO DE ORO;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;EL ZULIA;2011;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;YUMBO;2015;2
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;FLORIDA;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;NILO;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Huila;AIPE;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;CERINZA;2015;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;GALERAS;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caldas;ARANZAZU;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;BRICE√ëO;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;VILLETA;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;PINILLOS;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;PIVIJAY;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;CARTAGENA;2019;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Santander;BARRANCABERMEJA;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Atl√°ntico;TUBAR√Å;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Quind√≠o;ARMENIA;2011;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;AGUACHICA;2011;3
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Atl√°ntico;SOLEDAD;2019;3
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Casanare;MONTERREY;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;PURIFICACI√ìN;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;COROZAL;2011;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Huila;TERUEL;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;AMBALEMA;2011;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Atl√°ntico;JUAN DE ACOSTA;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;SAN BENITO;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Vaup√©s;MIT√ö;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;GIR√ìN;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;SIBAT√â;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;JUICIO;Ley 906;Bol√≠var;CARTAGENA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;SANTA ISABEL;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caquet√°;SOLITA;2011;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Antioquia;CAUCASIA;2019;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;ACH√ç;2011;1
VOTO FRAUDULENTO ART. 391 C.P;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caquet√°;VALPARA√çSO;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;SI;INACTIVO;JUICIO;Ley 906;Casanare;NUNCH√çA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;C√≥rdoba;MONTER√çA;2015;7
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;PLATO;2015;2
ELECCION ILICITA DE CANDIDATOS ART. 389A;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;MARIP√ç;2019;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;CISNEROS;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;SANTA ROSA DEL SUR;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;IBAGU√â;2011;4
VOTO FRAUDULENTO ART. 391 C.P;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Amazonas;LETICIA;2019;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;PAJARITO;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caldas;VICTORIA;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;ZAMBRANO;2019;1
MORA EN LA ENTREGA DE DOCUMENTOS RELACIONADOS CON UNA VOTACION ART. 393 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;MAGANGU√â;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;CALI;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;JUICIO;Ley 906;C√≥rdoba;BUENAVISTA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;ANZO√ÅTEGUI;2015;1
